rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
2.3369762499999993,431,1,260,4,107.75,,,,,,
31.161386749999995,903,3,265,8,112.875,,,,,,
47.77989816666666,1340,11,117,12,111.66666666666667,0.7886107755296025,-18.88202624850803,-178.60705792462383,0.0009881,62.99959703139317,287
37.6230035625,1903,26,70,16,118.9375,0.5541554648683679,-8.54010123208813,-781.153715335064,0.00098247,878.0881853755217,850
42.302613550000004,2544,45,56,20,127.2,0.8111420214176178,14.972197335561116,-5459.760797526042,0.0009762600000000001,35506.738404947915,1471
50.08438529166667,3017,59,50,24,125.70833333333333,1.7072078765563246,-68.60554086937094,-23103.18346477005,0.00097156,561507.9955778302,1941
49.06643542857143,3648,79,45,28,130.28571428571428,4.764091425304171,-341.2764467649822,-147020.42662183545,0.00096473,35633535.85443038,2624
48.560057281249996,4130,94,43,32,129.0625,8.928435739844737,-547.5208875868055,-389739.3273358586,0.00096016,342439025.13131315,3081
44.55975369444444,4570,110,41,36,126.94444444444444,16.054751805856196,-724.318212374835,-871522.6175176057,0.0009550800000000001,1809341466.8169014,3589
46.645461675,5016,123,40,40,125.4,25.94200498407537,-857.1274594393643,-1529202.3991477273,0.0009511000000000001,6712982253.818182,3987
41.74270477272727,5465,135,40,44,124.20454545454545,39.311293175106954,-934.8651489257812,-2340149.75,0.0009469999999999999,15097987491.35238,4397
45.48827277083333,5878,149,39,48,122.45833333333333,61.73001085325729,-955.4615237213844,-3498901.581395349,0.00094235,35560667624.18604,4862
39.002191423076916,6525,169,38,52,125.48076923076923,101.73539666206607,-925.8635423721805,-5112917.778225807,0.00093575,67240617277.935486,5522
42.625307625,7016,183,38,56,125.28571428571429,152.92783659538335,-888.4178288552613,-6889681.809734513,0.00093119,130898304915.25664,5978
42.749819200000005,7494,197,37,60,124.9,220.04540431646654,-826.7022200219425,-8581843.672839506,0.00092648,183757472148.5432,6449
36.144872593749994,8115,216,37,64,126.796875,324.6457656615558,-750.6644835446608,-10582469.951871658,0.0009204700000000001,292429762406.67377,7050
37.61085702941176,8699,231,37,68,127.92647058823529,481.11682336508824,-641.6807325713488,-12594257.578231292,0.00091465,393386230066.5034,7632
39.59707940277778,9284,247,37,72,128.94444444444446,679.3542915389924,-539.7284968027811,-14176325.065868264,0.00090892,445041445415.85626,8205
38.10917881578947,9748,262,37,76,128.26315789473685,927.8164735991379,-439.92416529162176,-15258463.303448277,0.00090345,540024407484.91034,8752
38.96084114999999,10152,274,36,80,126.9,1160.871595874275,-360.0086147662291,-15880086.175257731,0.00089935,476558532523.5464,9162
39.58383836904762,10664,286,37,84,126.95238095238095,1414.0343336838941,-269.17971590482273,-16096346.123076923,0.00089481,579228443128.123,9616
39.39728411363637,11122,299,37,88,126.38636363636364,1719.0405445928159,-192.51873945153278,-16234386.923913043,0.00089002,525598692663.65216,10095
41.138402739130434,11571,312,37,92,125.77173913043478,1976.6381642411395,-124.92824335796077,-16222502.908536585,0.00088526,541562503867.3171,10571
41.21201230208334,12272,330,37,96,127.83333333333333,2281.528209789379,-69.9224248061309,-15914621.885135135,0.0008792600000000001,492484463643.67566,11171
37.056725320000005,12894,349,36,100,128.94,2502.128314491929,-24.489124080992692,-15664530.894039735,0.0008725800000000001,523359473528.37085,11839
35.35583201,13432,365,36,104,130.01,2614.744021350191,-8.898441139068312,-15619063.702290077,0.00086681,502974022882.687,12416
35.90028895,13958,380,36,108,130.55,2637.5645221910977,-5.39672141247674,-15542728.5,0.0008616300000000001,486854529940.2105,12934
31.97000129,14553,397,36,112,132.13,2696.223412970231,-5.409344833044079,-15530441.09478673,0.00085608,526732726912.6066,13489
30.610826559999996,15116,413,36,116,132.13,2741.0771028888757,0.37236364297012786,-15489541.940298507,0.0008502000000000001,435922695427.8209,14077
28.14220689,15874,434,36,120,133.3,2787.4061496173063,-0.3694000897673786,-15389130.411167514,0.0008431,429189168320.3249,14787
25.420131339999998,16387,452,36,124,133.7,2720.1660948494414,-0.018247342267573276,-15227432.284768213,0.00083707,459696117963.4437,15390
24.286487690000005,16847,466,36,128,131.99,2728.697120522553,-0.4579544832121651,-15050758.46226415,0.0008323800000000001,407506082139.77356,15859
23.06450738,17306,481,35,132,131.76,2736.201846061497,0.23943065722054296,-14820835.37614679,0.0008276900000000001,454968863452.7706,16328
24.265917960000003,17900,497,35,136,133.3,2718.2545463748093,0.5829282232174059,-14667750.99390244,0.00082268,433828627431.0244,16829
22.921465410000007,18458,514,35,140,134.42,2646.9588516235353,0.9806603118777275,-14412926.51875,0.0008168299999999999,436063543296.0,17414
23.94555834,18847,528,35,144,133.82,2664.922275500351,0.41926737849632006,-14233053.853932584,0.00081247,388724726243.23596,17850
24.330574779999996,19471,543,35,148,135.93,2623.602231417088,-0.775136910422,-14002666.346820809,0.00080717,418365209961.0636,18380
23.34084726,20186,562,35,152,136.61,2667.1108915821605,0.5336122954918059,-13852379.55629139,0.00079989,325736943805.8808,19108
19.02501044,20831,582,35,156,138.15,2616.1118264394263,-0.14705367855829735,-13859273.753424658,0.0007932,377912429301.47943,19777
14.72839944,21397,601,35,160,139.03,2603.445393423016,-0.6903583906339795,-13701992.853932584,0.000787,294140426401.0787,20397
18.394788130000002,21818,614,35,164,137.03,2601.6059331479278,-0.3470952277598174,-13569175.282608695,0.00078288,298199533746.087,20809
16.25708363,22403,630,35,168,137.04,2592.292446642037,-0.2867037029151457,-13406786.162650602,0.00077764,293309672731.75903,21333
14.932489020000006,23021,646,35,172,137.37,2567.4513890466023,0.6118996961172237,-13157730.656976745,0.00077107,293159937738.4186,21990
15.003920370000001,23555,660,35,176,138.07,2524.356475515464,0.5812197425930771,-12979406.360824741,0.00076556,252206205540.28867,22541
17.11382285,24156,673,35,180,140.04,2527.924744387707,1.478066292871912,-12735737.759036144,0.00075986,271293562805.9759,23111
15.53923517,24716,687,35,184,140.52,2458.027150600771,0.6968279990214336,-12538947.44936709,0.00075403,253880705775.79745,23694
17.805404619999997,25305,702,35,188,141.83,2448.0910224671575,-0.21945263853498326,-12332422.152866242,0.00074861,266146664265.3758,24236
13.98389679,25914,721,35,192,143.43,2419.6455969432045,1.305856466924072,-12087787.486772487,0.0007423600000000001,231658859612.10583,24861
12.066440330000002,26500,736,35,196,142.28,2375.359912747651,0.48345958796981114,-11845110.300653595,0.0007366900000000001,218541916320.62744,25428
15.095750780000001,27218,756,35,200,143.24,2326.885388183594,-0.7985847209181104,-11592903.17857143,0.00072968,219483530883.65714,26129
16.95708956,27841,774,35,204,144.09,2287.3060137430825,1.269487661619981,-11367351.651041666,0.00072316,202056461525.33334,26781
14.0794393,28388,790,35,208,144.3,2247.1114336434057,-0.7735320531715781,-11151752.898305085,0.00071719,202910831563.9322,27378
16.98120614,29022,808,35,212,144.69,2216.4630979773115,0.3664371820345317,-10952303.534246575,0.00071134,186346402240.8767,27963
18.070009280000004,29462,822,35,216,143.46,2193.6327904873206,0.16356073637477686,-10756827.655737706,0.00070655,181867579526.29507,28442
19.893839890000002,30132,841,35,220,142.58,2161.7278282528832,0.12675524041766212,-10511073.410714285,0.00070024,180721985731.0476,29073
21.738670470000002,30661,855,35,224,142.74,2120.067694302263,1.0686966828231155,-10370594.02586207,0.00069477,155599789903.44827,29620
20.300890900000002,31315,872,35,228,144.68,2073.3921403981217,0.38065460354390773,-10176691.141414141,0.00068828,168881463823.51514,30269
21.828272739999992,31939,889,35,232,146.33,2025.5458779706212,-0.5630403514393789,-9870583.443113772,0.0006820999999999999,152281261233.82037,30887
20.900718790000006,32739,907,36,236,148.39,1964.475201572516,0.35576384739998057,-9562039.343589744,0.00067535,128811393465.1077,31562
22.0577344,33257,921,36,240,147.99,1908.311388708044,0.4868985335032145,-9257247.274074074,0.0006687300000000001,127402518528.0,32224
23.016415740000003,33778,934,36,244,149.31,1875.5790647110848,0.6488063819003556,-8978027.264150944,0.00066391,134788815949.28302,32706
19.750186149999998,34329,954,35,248,148.58,1805.743751627604,-0.6764480650424958,-8738509.136666667,0.00065735,114328787339.94667,33362
23.049540319999995,34952,969,36,252,147.66,1774.224954808012,0.7387215621927952,-8499433.997340426,0.00065177,108809589248.0,33920
26.408741940000006,35479,985,36,256,146.48,1732.7583473163415,1.0630135872087425,-8236122.632596685,0.0006463,101570491804.99448,34467
28.897207419999994,36088,1001,36,260,146.91,1690.82006640625,-0.2689525785446167,-7997823.692,0.00064073,93241782796.288,35024
26.90983061,36678,1017,36,264,148.6,1639.3803433504972,1.564570919356563,-7757439.045454546,0.00063478,86088490309.81818,35619
27.617939139999997,37263,1032,36,268,148.6,1600.7907780472951,1.3655394565674566,-7551526.752688172,0.00062878,78185746398.96774,36219
25.268028570000002,37967,1051,36,272,149.46,1540.5083358311417,1.8819284999724661,-7285369.400990099,0.00062208,80748611513.02971,36889
24.25642686,38458,1067,36,276,149.03,1518.1137361444978,0.22997084030738243,-7016719.367521368,0.0006164100000000001,66407762375.111115,37456
21.78747209,38959,1082,35,280,148.03,1452.8982312106348,-0.06843005779177644,-6793897.84496124,0.00061144,69768710469.45737,37953
20.022504549999997,39557,1099,35,284,148.41,1413.4850421934636,0.35050524009093076,-6553383.339694656,0.0006059700000000001,69862677300.76335,38500
15.48484283,40189,1119,35,288,148.84,1366.1054052734376,-0.373763313293457,-6270401.56,0.00059963,56843915748.69334,39134
15.265748780000001,40820,1138,35,292,149.06,1325.61395111084,0.6289634302258491,-6031201.690625,0.00059331,56298885760.0,39766
18.42025967,41354,1156,35,296,148.54,1295.6125282465025,0.32759425598521563,-5819970.726744186,0.00058759,51447791026.60465,40338
17.531016750000003,41860,1172,35,300,146.42,1261.296683695779,1.4597787287697863,-5641490.186567164,0.00058243,44856798101.01492,40854
18.729613479999998,42591,1193,35,304,147.5,1212.3588509659387,1.90940522598921,-5454284.110878661,0.00057594,47654021831.230125,41503
21.55120117,43132,1211,35,308,147.44,1184.9725818980824,0.40969095230102537,-5229396.509090909,0.00056954,37437995063.854546,42143
21.604802839999998,43644,1224,35,312,146.22,1160.7482478048948,1.9352207943401505,-5115360.584070796,0.00056544,33739841182.584072,42553
24.078268350000002,44144,1241,35,316,146.82,1104.1272153948794,-0.6563665264903908,-4930634.361386139,0.00055966,35958704077.30693,43131
23.303721409999998,44716,1259,35,320,145.84,1091.0343106897865,1.8938623346933505,-4792492.288617887,0.00055401,36821275473.17073,43696
20.142276250000002,45298,1276,35,324,146.37,1067.0223952862395,-0.40540719332815217,-4674615.857142857,0.0005486800000000001,27434785249.882355,44229
21.656793799999996,45780,1290,35,328,144.65,1036.4724811592487,0.31253939927226365,-4523004.080808081,0.00054372,35662629355.31313,44725
19.58921616,46335,1309,35,332,143.96,1016.0383716527966,1.256148572417273,-4377678.425724638,0.00053765,30840207653.101448,45332
19.58299078,46851,1320,35,336,141.12,998.4635242489602,1.4066100755183817,-4268542.152877698,0.0005331699999999999,25929113496.863308,45780
19.57571617,47380,1335,35,340,141.23,961.9748269473805,1.1947394041454091,-4132025.144117647,0.00052715,23890209795.011765,46382
20.84042465,47862,1347,35,344,140.84,950.5159196054469,0.6357759676832061,-4034725.3282122905,0.00052245,21600131921.519554,46852
19.283125509999998,48542,1364,35,348,142.13,916.8961247624578,1.6646092227987341,-3905167.875,0.00051584,25553456965.18919,47513
19.821172160000003,49175,1380,35,352,142.23,877.5052502950033,0.731375128030777,-3788419.171875,0.00051011,21695048686.22222,48086
16.43021193,49782,1398,35,356,143.03,850.1752925166377,0.9666785010585078,-3650850.67037037,0.0005037400000000001,19048499969.896297,48723
16.2260868,50383,1415,35,360,142.95,828.1437230110168,0.935725387185812,-3520972.39453125,0.00049778,17166581916.0,49319
19.765341530000004,50912,1428,35,364,142.34,811.9406355892319,2.195399032299777,-3404312.9472891567,0.0004923,16635259953.349398,49867
20.464153300000003,51517,1444,35,368,142.54,782.1742911087839,2.0956659093499184,-3275384.179276316,0.00048639,14892474051.368422,50458
23.227750139999998,52050,1461,35,372,140.83,748.9107326021131,-0.166986177431657,-3146404.786912752,0.00048011000000000006,13543763665.610739,51086
23.572294610000004,52590,1475,35,376,141.32,725.6065946691176,1.1698934653226067,-3047911.9338235296,0.00047507,12841659705.22353,51590
21.438352529999996,53188,1493,35,380,142.29,706.4130981445312,3.4440099465847016,-2939905.27,0.00046958,11915921425.92,52139
25.11248243,53765,1508,35,384,142.08,679.7444858429538,1.8321925287793397,-2835205.2101910827,0.00046415,11546639863.847134,52682
26.682707889999993,54407,1527,35,388,142.18,652.890746368759,0.9002691596403889,-2695533.8836206896,0.00045704000000000003,10911562444.505747,53393
27.899423240000004,55013,1543,35,392,141.93,636.7642890461331,1.5891165846552928,-2587990.5768156424,0.00045128000000000003,8875821766.793297,53969
25.961315279999997,55638,1559,35,396,142.84,612.1637748183718,1.2879343321368952,-2480533.7818471338,0.00044469999999999997,8465707577.070064,54627
30.683746960000004,56105,1571,35,400,142.45,589.3463665258105,-0.3125644153523668,-2402001.796728972,0.00044023,7747105658.018692,55074
28.78899212,56644,1584,35,404,140.53,575.4071136744676,0.14017027669248328,-2309994.298672566,0.00043502,7137132904.212389,55595
26.1928374,57101,1597,35,408,139.69,553.6278718988946,0.5638795919874882,-2227727.9441489363,0.00042998000000000005,7231879010.042553,56099
23.85952574,57626,1609,35,412,139.82,536.1535823427398,0.5640461465408062,-2160696.2101293104,0.00042500000000000003,6291938860.137931,56597
23.152660630000003,58224,1623,35,416,140.8,519.5480798172624,1.553154467719875,-2075929.035958904,0.00041925,6163163248.219178,57172
26.059151470000007,58935,1639,35,420,142.19,501.42582652333016,2.1463573516070187,-1992166.665521978,0.00041286999999999997,5544374151.032967,57810
29.595123800000007,59570,1657,35,424,142.72,486.901425818241,2.310980260372162,-1919553.4439393939,0.00040608,4946358098.230303,58489
29.31677813,60182,1675,35,428,144.02,460.24171048677886,3.237225624689689,-1852143.3009615385,0.00039967,5663465419.815385,59130
29.08754646,60782,1693,35,432,144.47,447.9165553672641,0.60717136641733,-1782571.8374183006,0.00039393,4777372518.90196,59704
28.23007295,61318,1709,35,436,144.67,430.80902063706344,3.0102074777378753,-1712862.4029411764,0.00038834000000000004,3598019144.282353,60263
26.118953429999998,61882,1725,35,440,145.02,409.7660646940532,1.1719137951731682,-1653290.8116776317,0.00038234,3483419792.8421054,60863
26.45574816,62419,1742,35,444,145.57,404.28325773540297,2.0309663988593827,-1591229.8778195488,0.00037705000000000003,3345800052.451128,61392
30.461344370000003,62932,1757,35,448,143.9,389.20292515908517,0.11768231901430315,-1538541.5554435484,0.00037178999999999994,3356406091.354839,61918
30.482103970000004,63494,1773,35,452,143.19,381.00227323024393,1.675401555548469,-1488426.2760791366,0.00036645000000000004,2883529058.532374,62452
32.530757910000005,63953,1787,35,456,141.71,368.61197238498266,2.4465519996604534,-1438970.253787879,0.00036171,3689165937.7777777,62926
35.20921799,64559,1804,35,460,141.76,354.3755049272017,-0.34460453636996397,-1395879.4047202796,0.00035577000000000004,2611580763.748252,63520
35.1447028,65035,1819,35,464,141.23,347.3023828577112,1.1948979916395965,-1353950.6666666667,0.00035063999999999994,2222637941.9259257,64033
35.67998875,65583,1834,35,468,140.66,338.1125009428195,1.3458949967128475,-1315691.6097560977,0.00034575000000000003,2233137349.723577,64522
32.771660219999994,66167,1850,35,472,141.17,328.19522503725034,2.0263835099554552,-1269201.4987113401,0.00034006000000000005,2024360459.8762887,65091
35.169465990000006,66677,1865,35,476,140.87,320.11679374222206,1.0559534617757376,-1234090.950221239,0.00033423000000000003,2158340341.238938,65674
35.997108600000004,67200,1876,35,480,140.12,313.4752020879623,0.6679728206144561,-1208533.0733944955,0.0003299299999999999,1838137877.7247705,66104
33.728011009999996,67801,1893,35,484,140.36,306.0087312397204,0.3278369984232393,-1182175.1691729324,0.0003236,2062695551.518797,66737
35.31917793,68321,1909,35,488,139.14,296.0804805860994,3.6181040116436574,-1153070.91160221,0.00031838,2011016155.2265193,67259
36.57770623,68883,1928,35,492,138.7,288.780829783236,0.1663331285621343,-1115033.2029494382,0.00031203000000000003,2209901681.977528,67894
36.14414014,69558,1947,35,496,139.2,280.8186511500735,0.9386368528063447,-1084754.80650369,0.00030591,1550367628.98893,68506
32.9637193,70280,1968,35,500,141.75,274.3418245057802,1.5790900036289885,-1051740.6714527027,0.00029937000000000003,1414291945.945946,69160
29.9211633,70926,1988,35,504,142.82,265.6024809806578,1.1130749906263044,-1027582.9395161291,0.00029247,1315439777.4451613,69850
27.664711160000003,71540,2006,35,508,144.39,260.43690409342446,1.2705943981806438,-1002396.3733333333,0.0002863,1254141144.96,70467
27.00687346,72232,2023,35,512,146.06,249.07134311170464,0.46814139205289174,-981301.7417168674,0.00027926,1334567180.5301204,71171
27.182463950000002,72858,2038,35,516,146.34,240.15105878234542,2.058954137027579,-959037.5952380953,0.00027306,1201514629.079365,71791
27.148416240000007,73415,2053,35,520,144.8,234.52353505619237,2.019210713320091,-930863.8396516393,0.00026781999999999994,1082349964.852459,72315
26.480255659999997,73906,2068,35,524,143.36,226.74678215613733,-0.38396140703788173,-905847.0258413461,0.00026254999999999996,1142041382.4615386,72842
24.62776952,74548,2088,35,528,143.66,224.09011998669854,1.6412827924554572,-876225.9159482758,0.00025588,987106661.2019705,73509
26.508322569999997,75101,2103,35,532,143.19,217.06140272957938,2.2354790898306027,-853586.4341517857,0.00025037,897814965.1428572,74060
26.08920931,75775,2122,35,536,144.57,212.66932327682906,3.252923300137391,-824932.6706081082,0.00024375999999999998,940751563.6756756,74721
24.650651590000006,76366,2140,35,540,144.84,208.22798963814728,0.7555504544707369,-806596.6585743802,0.00023784000000000007,772941098.3140496,75313
22.798047260000008,76953,2153,35,544,145.34,205.7752444563241,-0.7244529049972008,-789172.0228448276,0.00023212,855877135.0068965,75885
22.52006966,77504,2167,35,548,145.72,199.9909613473075,1.048422634601593,-775188.7589285715,0.00022616000000000004,750410622.8571428,76481
23.484024710000003,78041,2184,35,552,145.47,196.49371484375,0.7449768037796021,-761757.747,0.00022063,759612215.552,77034
20.290210030000004,78576,2200,35,556,146.23,190.85313242132014,1.5685827203772285,-748276.4791666666,0.00021528999999999998,881415324.8484849,77568
18.894530839999998,79100,2212,35,560,145.41,191.0532294511795,-0.8674020646139979,-734520.37109375,0.00021024,679464005.0,78073
17.17013974,79622,2227,35,564,145.87,188.47689916217138,2.7646755273379977,-720628.8015873015,0.00020523000000000004,632724874.1587301,78574
18.140688979999997,80242,2244,35,568,146.59,182.02041482176458,0.527860035446926,-707060.5615183247,0.00019932000000000006,653739545.6335078,79165
22.311177519999998,80907,2265,35,572,147.4,177.7041557397735,0.09053405985403597,-689008.5070224719,0.00019250999999999996,653315452.9438202,79846
20.25437589,81510,2285,35,576,148.33,174.84095199386795,1.1579634299525967,-673839.0482954546,0.0001864,638480489.5584415,80457
17.736301799999996,82157,2305,35,580,149.57,171.93662750792362,1.6249315538806115,-660256.5827095809,0.00018001,557490347.3053892,81096
18.053724229999997,82795,2325,35,584,149.94,168.68477161114032,-0.318681001663208,-644128.8709935897,0.00017374,662810149.948718,81723
17.882758879999997,83254,2339,35,588,149.33,166.5842152721477,1.1745262697057903,-635091.1031839623,0.00016867,586308482.7169812,82230
18.456558380000004,83854,2353,35,592,149.71,163.00661303425392,2.4445170826382108,-623301.514619883,0.00016323,549520828.2573099,82774
18.4646802,84338,2365,35,596,147.8,158.28815761181193,4.685911089455316,-610543.2488532111,0.00015815999999999996,459383597.35779816,83281
19.378284979999997,84837,2378,35,600,145.57,153.6317683840261,0.9016687164028871,-600181.031553398,0.00015280000000000005,531531442.9514563,83817
23.047563049999997,85349,2391,35,604,144.23,150.77121836868758,3.3523972857858717,-581879.0637886598,0.00014749,526223586.96907216,84348
24.4616314,85938,2404,35,608,143.98,149.30385863106207,-2.172820415699257,-569759.9121462264,0.00014232999999999995,468964939.0188679,84864
24.63343018,86464,2421,35,612,142.32,147.91350825383114,1.1984049439430238,-556400.40625,0.00013629999999999998,528708188.9230769,85467
25.295666649999994,86970,2435,35,616,141.12,145.43514501637426,2.8543507898675986,-547494.6724137932,0.00013136999999999998,450279512.55172414,85960
22.153471519999997,87410,2448,35,620,139.95,143.9323308259538,-0.5258945296111616,-540228.5078883495,0.00012719000000000003,469434603.65048546,86378
22.825299539999993,87892,2465,35,624,139.86,142.55068254470825,1.857266326745351,-533708.728515625,0.00012217,461261529.1666667,86880
23.997328319999998,88470,2482,35,628,139.22,141.74629074177415,0.41742002648651283,-526771.269675926,0.00011658000000000003,484073596.4444444,87439
24.177769749999996,88954,2498,35,632,138.53,141.08176408734238,1.7435457805792491,-517533.4015899123,0.00011170000000000002,418333803.50877196,87927
26.68531093,89550,2516,35,636,137.75,139.25678168402777,1.439319604800807,-508570.19032118056,0.00010602999999999996,431234302.8888889,88494
31.65406242,90159,2535,35,640,137.93,138.28510602815882,1.6557455461794937,-502837.0910433071,0.00010046,443311169.007874,89051
33.10273376999999,90697,2552,35,644,137.44,136.56368305735344,3.3583754570814817,-493312.231979927,9.458e-05,424360786.45255476,89639
31.652002769999996,91224,2568,35,648,137.2,134.81140243175417,0.8005251222571661,-484924.410247093,8.921999999999996e-05,450230085.5813953,90175
30.90309473,91832,2587,35,652,137.91,133.82910074373572,-0.3398358874204682,-478550.39024390245,8.292e-05,409509743.297561,90805
32.71411398,92365,2601,35,656,137.89,133.00646456381432,1.1940620111343556,-471924.8594924812,7.776000000000006e-05,413023659.9097744,91321
31.926050410000002,92814,2615,35,660,137.14,131.77796776350155,3.2738507805868635,-467412.6398982558,7.338999999999996e-05,402057704.55813956,91758
31.893654439999995,93300,2629,35,664,136.78,130.15187427609465,2.6078104894290597,-462616.6666666667,6.828999999999996e-05,349125993.6744186,92268
28.90749140999999,93859,2643,35,668,136.17,128.261292855399,2.655182695388794,-458370.40678571427,6.291000000000002e-05,357996547.93142855,92806
26.862545710000003,94413,2656,35,672,135.06,127.22148526594943,3.1621645977033066,-452198.4874161074,5.757999999999997e-05,405655046.01342285,93339
28.854421279999997,95005,2671,35,676,134.95,125.72973934220678,3.140428682168325,-445099.22627314815,5.145e-05,387436791.90123457,93952
34.51793759,95586,2687,35,680,134.29,123.72416745325562,2.9500128615434003,-438635.4530254777,4.557e-05,376329631.2866242,94540
35.12123684,96076,2703,35,684,132.81,122.76262200673422,2.802952722708384,-434237.5169270833,4.0189999999999946e-05,379261309.6,95078
35.68872045,96603,2718,35,688,133.49,122.14076765106945,1.501746484709949,-429939.2391768293,3.4950000000000036e-05,365190478.9073171,95602
35.82823345999999,97159,2734,35,692,133.05,121.58657474517823,2.57678779438138,-425158.5453125,2.986e-05,387409871.0,96111
38.49112633,97751,2753,35,696,134.13,120.7574292624869,3.689039394986339,-420451.2618140244,2.3809999999999997e-05,371446558.73170733,96716
39.0220407,98282,2769,35,700,134.45,119.86564779972684,5.224681942359261,-414246.0394021739,1.8279999999999964e-05,326617794.0869565,97269
40.297429570000006,99113,2791,35,704,137.64,119.0904970038427,5.199213900386471,-409077.55522260274,1.1440000000000006e-05,348383226.1917808,97953
42.18491132000001,99668,2812,35,708,137.3,118.65339359767,6.333255837500935,-406371.3496919014,4.539999999999989e-06,348569089.2394366,98643
