time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss
204,194,8160,41,42.25,153.13845524,7125,-181.0799207185444,0.0009458666666666666,0.03626586506633382,3.386358706574691,7.83013727790431
208,198,8316,41,42.27,156.55145185,7279,-180.81152205033735,0.0009448400000000001,0.0358560775039774,-8.224183187340245,7.083247820536296
212,203,8478,41,42.34,157.65490387,7441,-178.9071029663086,0.0009437600000000001,0.034486245922744276,-3.499532477557659,8.869607925415039
216,207,8658,41,42.54,161.93647463000002,7616,-174.30385191544244,0.0009425933333333333,0.03388242974229481,-5.774865072706471,6.297677351080853
220,213,8843,41,42.88,163.46678075999998,7799,-174.19330233619326,0.0009413733333333333,0.034613472187802904,4.978621360801515,7.558305547350929
224,219,9042,41,43.35,167.92879901,7995,-171.98331434461807,0.0009400666666666668,0.034727497067716384,-1.6165424558851453,7.706916406419542
228,224,9212,41,43.27,167.53737323,8180,-169.29815957712572,0.0009388333333333333,0.032553541712289635,-8.814899318440016,6.268687392390052
232,229,9415,41,43.29,167.64501832000002,8351,-165.41858584381814,0.0009376933333333335,0.031821075133806054,-0.6005585249080214,6.064725110697192
236,236,9637,40,43.86,165.37295898,8596,-161.82542355855307,0.0009360600000000001,0.03247041068971157,1.4235540744331148,6.1770565311114
240,242,9844,40,44.76,169.41075586,8784,-157.20586410833866,0.0009348066666666667,0.0327427865443181,-0.6033115970845125,6.1729094252294425
244,248,10039,40,44.98,167.45355542,9001,-155.3218016013121,0.0009333599999999999,0.033415648417595104,17.680051656869743,28.03116254317455
248,253,10223,40,44.95,165.7947027,9182,-152.3784923147648,0.0009321533333333334,0.0338182676028698,-3.9008905836876404,7.053813985053529
252,259,10402,40,45.0,168.29930079000002,9368,-150.34690483248963,0.0009309133333333334,0.03273418690172993,-2.6522903904622916,6.9333901891903
256,264,10611,40,45.45,172.27780449999997,9563,-150.08726715623285,0.0009296133333333333,0.032118124070397595,-0.46007117263057773,7.090071987687495
260,271,10816,39,45.73,176.74579518,9767,-150.45683413135762,0.0009282533333333334,0.03143357394301161,-1.57061581708947,5.130191131513946
264,277,11014,39,46.05,184.14127424000003,9967,-147.85971131616708,0.00092692,0.03128293536755503,2.238906572059709,6.705332279205322
268,283,11217,39,46.52,191.91568942000006,10174,-148.06726043078365,0.0009255400000000001,0.030034048292709857,-2.9578048246247426,4.985346127529533
272,288,11410,39,46.85,196.04264172000003,10364,-142.60071385160407,0.0009242733333333334,0.02914880136860178,1.1408067155391612,4.838135480880737
276,293,11560,39,46.54,198.84259423999995,10517,-137.82134869224146,0.0009232533333333333,0.02963462143548225,3.842070372481095,16.706091843153303
280,300,11787,39,47.12,202.33617558999998,10744,-139.63962978786893,0.00092174,0.027943324711587694,-1.956509824152346,5.395301324349862
284,306,12001,39,47.5,201.71238445000003,10937,-133.96709716796875,0.0009204533333333334,0.02811873946338892,2.956010377407074,4.626243329048156
288,313,12222,39,47.75,200.16361921,11185,-133.9247817993164,0.0009188000000000001,0.028102712608970605,-0.775057797308092,4.564646479371306
292,318,12416,38,47.59,201.60669881,11379,-131.69887084960936,0.0009175066666666668,0.028297087343202697,-0.08583185407850477,4.266694694095188
296,323,12587,38,47.53,204.73861301999997,11556,-127.5761015608504,0.0009163266666666666,0.02787346951663494,1.1044019428459373,4.5882323883675245
300,328,12774,38,47.72,201.55947345999996,11728,-127.95944486345563,0.00091518,0.028220181486436298,-0.4542318018419402,5.179497344153268
304,335,13026,38,48.66,199.37170036000003,11982,-125.50015988913916,0.0009134866666666667,0.027569541407208287,-0.758271135309691,4.87534035149441
308,341,13210,38,48.94,202.53275285,12172,-123.82200216739736,0.00091222,0.026533790685712023,-0.08702116316937386,4.28509298284003
312,347,13409,38,49.31,208.95024107999998,12362,-123.54436652604923,0.0009109533333333333,0.026752741660836132,-1.2106094346490017,4.477054379707159
316,353,13634,38,49.76,211.70815947999995,12570,-122.97199837106173,0.0009095666666666666,0.026968929489127925,0.7826695754879811,4.354554887677803
320,360,13878,38,50.35,210.49774392999998,12813,-122.63692565462482,0.0009079466666666667,0.026612572594365076,-0.6337870599618599,4.464656182189486
324,368,14155,38,51.13,208.91029956999998,13108,-121.39534548709267,0.00090598,0.02646311610250881,-2.5776133945113733,3.736914713131754
328,374,14330,38,51.18,212.35271251000006,13292,-118.12819448331507,0.0009047533333333333,0.02553907745495075,-4.8541014892299,3.615229292613704
332,378,14497,38,50.82,213.79633769,13456,-117.25305938720703,0.00090366,0.02517696707509458,2.786662885546684,3.758821028470993
336,386,14821,38,51.84,222.24012026,13735,-112.85635503133138,0.0009018,0.024828795015949895,-0.9810267730995461,3.7119479179382324
340,395,15178,38,53.34,222.93871599000002,14127,-110.55854419746784,0.0008991866666666667,0.02521340176463127,1.6474751836121684,4.076943327682187
344,400,15409,38,53.7,225.00349992,14365,-109.06941103467754,0.0008976,0.02539442373695327,2.203581887132981,4.316081911909814
348,406,15608,38,53.85,226.87815189999998,14566,-108.25240859985351,0.0008962600000000001,0.025511407181620597,-0.29659844160079957,3.7095809459686278
352,411,15809,38,54.07,229.50850385000004,14760,-108.32979224709904,0.0008949666666666667,0.025661490382809266,0.7343295695734959,4.777914486679376
356,418,16011,38,54.0,232.47388746000001,14972,-110.20287567714475,0.0008935533333333333,0.025328157047899265,-2.4791780372835555,4.10621973253646
360,425,16257,38,54.41,233.59510032999998,15203,-106.76178269159226,0.0008920133333333334,0.02490027393731806,-0.4892252626873198,5.319526713991922
364,431,16482,38,54.68,232.8945384,15435,-109.80864042394302,0.0008904666666666667,0.024718481864707143,3.0452515471215342,3.965674778994392
368,438,16751,38,55.34,229.02134233000004,15690,-107.52184059250523,0.0008887666666666667,0.024654279030124907,-1.0146386396717018,3.6861571325382716
372,443,16976,38,55.66,228.25076735000002,15922,-108.2557433081455,0.00088722,0.024674579959179533,-0.09863839286272644,3.8032880923787102
376,451,17282,38,57.22,226.15596411,16214,-109.49530782197651,0.0008852733333333334,0.025646803655514593,0.8339096056787592,4.500164775471938
380,458,17530,38,57.43,227.48565575,16479,-109.80533024522124,0.0008835066666666667,0.0254823024399945,-0.5737384245043895,3.862539029512249
384,463,17752,38,57.51,230.59167121,16704,-111.20770293591069,0.0008820066666666666,0.025457606632627694,-0.8923805928697773,3.982956470227709
388,469,17981,38,57.59,234.33103834000002,16927,-111.11158637280734,0.00088052,0.025673981299096683,0.21122678045956594,4.107142192012859
392,476,18229,38,58.13,236.40347606999995,17176,-112.11782877604166,0.00087886,0.025099502230683964,-1.4043706019719442,3.478014218012492
396,482,18456,38,58.69,239.28704123,17401,-111.2532949614943,0.0008773600000000001,0.025097857376462536,-2.417317007717333,3.937323683186581
400,488,18676,38,59.02,243.36805542000002,17627,-112.57004532447228,0.0008758533333333334,0.0248524840348042,0.0010094986512110783,3.6345840921768775
404,494,18890,38,58.64,247.07461898000005,17837,-110.33931524103338,0.0008744533333333333,0.02441157288849354,0.27627016305923463,3.1951769915494053
408,500,19119,38,59.09,248.53673526999998,18076,-110.2023693582286,0.0008728599999999999,0.025148989281792572,0.0050173721451690235,3.3707946728968965
412,507,19457,38,60.48,249.12195954000003,18380,-110.09980420564351,0.0008708333333333334,0.024815022945404053,-2.0188774353579473,4.178777950688413
416,513,19672,38,60.38,250.09431624000004,18625,-111.54063669840495,0.0008692,0.024561010680540844,-1.615788424456561,3.5699617906853005
420,518,19881,38,60.03,254.19494997,18832,-109.34367098127093,0.00086782,0.024447468109428883,0.8886521543775286,3.7309480011463165
424,524,20084,38,59.29,256.99501109,19040,-111.09810624299226,0.0008664333333333334,0.024479096582918254,-0.6516649899659334,4.449171936070478
428,529,20278,38,59.48,261.36440234,19229,-110.89640496701611,0.0008651733333333334,0.02447352193448008,1.4285205894586992,4.243314606802804
432,535,20489,38,59.92,266.48310141,19441,-112.92798355390441,0.00086376,0.024734384222131856,1.5404754337274804,4.7461960630596804
436,542,20736,38,59.15,267.95700779000003,19672,-110.73637281145368,0.00086222,0.024073143090520586,-2.441409019487245,5.147943092244012
440,550,21049,38,58.71,272.11235483,19951,-111.7517187184301,0.00086036,0.02464013600229532,0.14923041853411445,4.008964272751205
444,560,21367,38,59.58,273.42782013000004,20324,-113.28427541632401,0.0008578733333333333,0.02497926501459197,0.32864438358106113,4.282483399541754
448,568,21680,38,60.72,274.08560358,20617,-111.26894485118777,0.00085592,0.024595142168880896,-0.7465569189814634,4.04538982136305
452,576,21937,38,61.28,275.42952087,20889,-110.22334289550781,0.0008541066666666667,0.02439548700931482,3.124113854020834,3.7758854888379574
456,582,22169,38,61.58,276.27919011,21109,-111.1566042983741,0.0008526400000000001,0.025156581284184205,0.1284101542673613,4.07974292102613
460,590,22470,38,62.13,278.77606999,21390,-111.04591740502252,0.0008507666666666667,0.02529175491589639,0.06140726225243674,4.541668676667744
464,599,22772,38,62.9,281.81574413,21710,-113.20586663904325,0.0008486333333333334,0.025454056698461652,0.3887264980396754,3.9528955002905617
468,606,23028,37,62.77,288.00793058000005,21978,-113.32045545076069,0.0008468466666666667,0.02513575328415946,-1.2109305042969554,4.521567261009886
472,613,23279,37,63.03,291.32956144,22230,-114.45794522935066,0.0008451666666666666,0.024572224153772644,0.5629043941912444,4.268380503723587
476,620,23544,37,62.62,293.9964777,22459,-114.56253932072566,0.00084364,0.02520986248810704,-1.2029732740842378,4.148318721697881
480,629,23849,37,63.19,292.60026595,22797,-114.98836491025727,0.0008413866666666667,0.025101985461239158,0.8443622438386938,4.4104675150465695
484,636,24113,37,63.61,292.72642445,23049,-114.69252565682652,0.0008397066666666666,0.02556581846831075,-0.31376947983201725,4.823965512126325
488,643,24362,37,63.81,294.5678118000001,23300,-111.7053837631688,0.0008380333333333333,0.025060146764823883,-1.3455280435807777,5.060769561565284
492,651,24666,37,64.37,296.05937802000005,23578,-112.8036776374368,0.0008361800000000001,0.02529693719218759,-0.4058492295882281,4.300726245431339
496,662,25041,37,65.85,301.20003094000003,23969,-111.56074799213212,0.0008335733333333333,0.025519108803001875,0.6802640108718085,4.29421450428127
500,669,25334,37,66.58,303.9726097,24249,-113.70621011196039,0.0008317066666666667,0.025608347394527532,2.294527075229547,6.338517048420051
504,677,25568,37,66.78,302.03065614,24502,-113.75308477467505,0.00083002,0.025357740192577756,1.0183729837680686,4.5414803768026415
508,684,25833,37,67.14,302.43322017,24780,-113.44989940098354,0.0008281666666666667,0.025002801205430712,1.208381974697113,4.824718151773725
512,691,26099,37,66.42,304.30781949,25049,-113.86046529134114,0.0008263733333333333,0.02507431395351887,-1.4099381240208944,4.129727970759074
516,697,26310,37,66.38,305.41897865000004,25260,-112.6970575120714,0.0008249666666666666,0.024968541779175953,-1.375552941251684,4.431392064800969
520,703,26536,37,66.55,305.683691,25490,-113.76300451105291,0.0008234333333333334,0.024892591041597453,3.3218818231062457,4.092988547411832
524,709,26777,37,66.93,307.79938442,25722,-115.5427602594549,0.0008218866666666667,0.024912278896028345,0.021610752019015224,3.939918851852417
528,715,27037,37,67.59,306.79699664,25981,-113.29070059458415,0.00082016,0.025110903842788603,-0.5191158180435499,5.693588164117601
532,721,27318,37,68.29,306.69150397,26234,-113.51435750844527,0.0008184733333333334,0.025565169865683635,-0.4257407547259817,6.304334791339174
536,730,27619,37,68.83,310.60196545,26563,-114.73970902484396,0.0008162800000000001,0.025676912425652794,0.9801891400762226,4.617608513521112
540,735,27841,37,67.92,311.17014649,26793,-114.82340328509991,0.0008147466666666667,0.026033533163941823,0.8349342678601925,4.645147951749655
544,741,28111,37,67.44,316.56126116999997,27033,-117.48509116399856,0.0008131466666666667,0.025994967403156415,0.47315610306603567,4.507850607236226
548,750,28459,37,67.79,317.93707742999993,27397,-118.64861709080385,0.00081072,0.025667454691582853,-0.09655927037924864,4.558016661847575
552,757,28799,38,68.62,317.99323447,27694,-118.91134467491737,0.0008087400000000001,0.02608435932928935,0.24009236234884995,4.490872135529151
556,765,29145,38,69.76,317.8280298600001,28058,-120.3732300782815,0.0008063133333333334,0.026714000086753797,-0.1135423978169759,4.822349367997585
560,773,29419,38,69.49,316.29768179,28368,-118.07863330841064,0.0008042466666666666,0.026335727598052472,1.3748943954706192,4.983518294990063
564,778,29640,38,68.68,313.21784209000003,28585,-119.17592198797998,0.0008028,0.02626204201357162,1.689357803222981,5.1545465195432625
568,784,29917,38,68.89,315.4272322300001,28851,-120.05163386096693,0.0008010266666666667,0.02617089338090322,0.5348705653458425,4.708084008465074
572,790,30158,38,68.79,317.16671341999995,29104,-118.61544527326312,0.00079934,0.026513232284092476,1.9532942069428307,4.662784359284809
576,797,30412,38,68.68,322.08974387,29349,-120.19607356144832,0.0007977066666666667,0.02639991406064767,-0.21620622598207914,4.347745345189021
580,803,30680,38,68.31,326.48844685000006,29620,-119.96960194905598,0.0007959000000000001,0.026701904473858968,0.6818948837748745,5.223488058960228
584,811,30973,38,68.6,328.83135209,29911,-121.18907519354336,0.00079396,0.026575254087430843,-0.8868866925654204,4.225915701492973
588,818,31241,38,68.79,329.25062276000006,30183,-120.70688399223432,0.0007921466666666667,0.026279151720339306,1.0976684616036612,4.234314591917273
592,826,31535,38,68.69,325.81834389,30455,-120.19709216589216,0.0007903333333333333,0.02655246053105113,-1.283104005216182,5.276913919668088
596,834,31783,38,67.42,322.24813604999997,30734,-119.57867256539767,0.0007884733333333334,0.026176047038103712,1.917626389714538,5.911933640964696
600,841,32030,38,66.96,322.59035461,30960,-120.08325258890788,0.0007869666666666667,0.02618488056274752,-2.2401503746708236,4.667622074484825
604,848,32308,38,67.4,327.63166771,31217,-120.57403777627384,0.0007852533333333333,0.026106226805816677,0.8659713057910695,4.6574844858225655
608,858,32634,37,68.01,332.07026235999996,31572,-117.88987465275144,0.0007828866666666667,0.026044697419387624,-0.6730717142808784,4.503027672906524
612,866,32889,37,67.9,329.85835098,31847,-118.3832000732422,0.0007810533333333334,0.026140956523326726,0.09348900593244112,4.6183509900019715
616,874,33253,38,69.43,334.16119834,32132,-115.70937418937683,0.0007791533333333334,0.0259063759779868,-0.631774407501022,4.546101329227288
620,886,33629,37,70.93,338.09456248999993,32535,-114.23240501497999,0.0007764666666666666,0.02639744113440867,0.44857458935843575,6.543154669396671
624,894,33935,37,71.58,334.17739045999997,32846,-115.77669414721038,0.0007743933333333333,0.026488100815760463,-1.943498366757443,4.425676568558342
628,903,34257,37,72.2,340.17568106999994,33181,-117.17489840660566,0.0007721599999999999,0.026094657127503997,-1.2043890217204152,5.042289901662756
632,910,34560,37,72.42,346.08939186000003,33487,-118.58394317626953,0.00077012,0.026161778059143288,-0.8348567650868343,4.959735320164607
636,917,34794,37,71.75,342.55635517999997,33736,-118.38141909512606,0.00076846,0.025877728990533134,1.179571591724049,4.468751564892855
640,924,35041,37,72.0,343.57085761,33985,-118.61413994388303,0.0007668000000000001,0.0261789600810279,1.0200030613636626,5.014018224633259
644,931,35302,37,71.91,343.81382979999995,34227,-119.36390233039856,0.0007651866666666667,0.02661155178793706,-0.40244636218994856,5.055535659193993
648,939,35615,37,71.56,351.06100237,34533,-118.19649041217306,0.0007631466666666667,0.026430307010161705,1.5667769321496936,4.582789770071058
652,948,35972,37,71.73,354.0525127600001,34894,-118.77178483598688,0.00076074,0.026656799374169177,-0.09423526217428486,4.674458584088958
656,957,36294,37,71.49,361.7437058799999,35221,-120.17350804528525,0.00075856,0.026237483071379884,0.10537681191466576,4.108171554498894
660,965,36600,37,71.81,364.6772823499999,35543,-121.00327085607192,0.0007564133333333334,0.026318710560307785,-0.7586224555969239,4.188620643054738
664,972,36901,37,72.61,369.44041560000005,35827,-122.83034772996778,0.00075452,0.026012945775087778,-0.2871034973627561,4.28503266247836
668,980,37180,37,72.63,364.77428769000005,36109,-123.28519206576877,0.00075264,0.026569606477601662,1.400358224908511,4.606448269552654
672,988,37494,37,73.36,365.66694061000004,36427,-122.3824229828299,0.00075052,0.02612520961014375,0.7248954870929457,5.107254345123082
676,995,37837,38,74.25,366.36649882999995,36754,-121.70703747089092,0.00074834,0.026045622103489364,1.2230942029219407,4.945759336764996
680,1004,38182,38,75.02,369.40284039000005,37127,-123.78041969299316,0.0007458533333333333,0.02615257544443011,0.7123949193954467,4.615693147182465
684,1012,38516,38,75.43,371.12852892,37446,-122.54599877852428,0.0007437266666666666,0.02580467338048959,-0.13638967049272754,4.252623392056815
688,1021,38849,38,76.08,373.66837012999997,37762,-122.01406262868858,0.0007416199999999999,0.02571069025041827,-0.13713951426816273,4.2170850598668475
692,1031,39209,38,76.74,382.07984287,38139,-120.55523746571642,0.0007391066666666668,0.026029441485855172,3.288496934353037,4.653945146722997
696,1038,39456,37,76.73,384.38910975,38412,-123.27602470084412,0.0007372866666666666,0.02609089420062222,2.964199182105391,4.923918217828829
700,1045,39745,38,77.15,389.41151443999996,38676,-121.45036566884895,0.0007355266666666667,0.02612920245155692,-1.2590097298747616,4.486531561926792
704,1053,40041,38,77.33,392.00418239,38975,-120.53356600479341,0.0007335333333333333,0.026244949287092183,-0.7883266277716193,4.129559668017105
708,1062,40323,37,76.89,391.70012562000005,39264,-121.34738354350246,0.0007316066666666667,0.026183108690866205,0.6009704387465189,4.909902062526969
712,1071,40662,37,77.73,397.75039786,39574,-121.13342155456543,0.0007295400000000001,0.026475493051111697,0.27649091482162474,4.49153059720993
716,1082,41092,37,78.39,404.82349417000006,39999,-122.9912527145878,0.0007267066666666667,0.026903587799038616,1.0541288972862306,6.172555642743265
720,1093,41544,37,79.15,409.57278485,40450,-126.49460947288657,0.0007237,0.02700379717532756,-1.9003294897529315,5.701268380542971
724,1101,41841,37,79.06,411.72008958000004,40785,-124.63179611206054,0.0007214666666666667,0.027515965662896633,2.3451481473445894,5.195931406021118
728,1109,42155,37,78.98,409.00000222,41102,-128.92300923665366,0.0007193533333333333,0.02851894899374909,0.42428608338038126,10.056645753648546
732,1115,42332,37,77.72,402.11673626,41296,-132.65133514404297,0.00071806,0.02853899747133255,1.0125986337661743,7.484671902656555
736,1121,42533,37,77.39,399.69893758000006,41487,-134.488919038039,0.0007167866666666667,0.02852020516561774,-1.7445086412704909,6.600475366298969
740,1127,42719,37,76.78,398.20468291000003,41677,-136.51664863748752,0.00071552,0.028697856206526148,-1.4756965231388173,9.424881093045498
744,1132,42910,37,76.08,395.92092398,41864,-138.0871690790704,0.0007142733333333333,0.02898534692506841,0.08246477867694611,9.365793319458657
748,1138,43124,37,75.09,388.11715307,42073,-142.49390243530274,0.0007128799999999999,0.029120253026485445,3.8681872415542604,9.268057508468628
752,1144,43377,37,74.05,382.0290683,42320,-147.01242261944395,0.0007112333333333334,0.03056230257745042,0.752373912117698,8.332547816363247
756,1153,43750,37,74.56,379.28497555999996,42649,-151.21908975684124,0.00070904,0.03054061677792798,1.460729982541955,8.174108728118565
760,1166,44220,37,76.2,384.7035155600001,43113,-154.00273889160155,0.0007059466666666667,0.031525431722402575,0.8784397401809693,9.37625652694702
764,1174,44540,37,76.39,384.30183479,43445,-155.93473314557755,0.0007037333333333334,0.0319906870169299,3.4335348623139517,31.201627363477435
768,1186,44954,37,77.74,394.60644726000004,43849,-156.35030416424354,0.00070104,0.03210926323794247,0.6945272509971362,13.926889907108263
772,1198,45336,37,78.42,397.68154896000016,44250,-154.2133302550385,0.0006983666666666667,0.03156929112214973,-0.7011775607648103,8.342958270639613
776,1207,45620,37,77.83,396.01094016999997,44572,-153.69631611217153,0.0006962200000000001,0.03046895902265202,-0.518957768425797,8.711507934512515
780,1214,45851,37,76.69,391.61901546,44794,-152.92345537458147,0.00069474,0.030572115310600827,1.8106171361037664,8.417799873011452
784,1221,46127,37,76.11,390.03524080000005,45055,-155.5061005812425,0.000693,0.03067083112322367,-2.522388655405778,7.808306168287229
788,1232,46526,37,76.77,394.86539431000006,45450,-153.71150659055127,0.0006903666666666667,0.03114021119034412,-1.9696628925751667,7.567770933618351
792,1241,46881,37,76.72,396.63483177,45801,-156.206299163483,0.0006880266666666666,0.03186467560110511,1.0668512261830843,7.745677224882356
796,1255,47332,37,78.76,406.62513892999993,46251,-156.12535398146684,0.0006850266666666667,0.031686238862354964,-1.0404070637681906,7.935318873209112
800,1266,47783,37,80.38,406.99141182,46682,-155.92473856608072,0.0006821533333333334,0.031852974212384436,-0.47608440953332026,10.566940616916966
804,1275,48210,37,81.69,412.56087559,47094,-156.86036883660083,0.0006794066666666668,0.03149428977718893,-0.6198189522860185,8.412082834063837
808,1286,48667,37,83.44,420.22891228000003,47569,-156.06455156139862,0.0006762399999999999,0.030979933763357035,-0.9743410151703913,9.269326432306963
812,1295,49100,37,84.38,425.90455872999996,47951,-154.95299563937718,0.0006736933333333333,0.030550008142987885,-0.009207784467273288,7.732547426223755
816,1307,49601,37,85.09,422.20454953,48458,-154.6143363503849,0.0006703133333333333,0.030426241913992985,0.20732129555122525,7.481769220501769
820,1316,49960,37,84.16,417.39860304,48866,-153.81428617589614,0.0006675933333333332,0.03009894919380838,1.0035809342767679,8.579817084705128
824,1326,50333,37,84.92,425.20420443999996,49238,-153.0498858512716,0.0006651133333333333,0.030469387056345634,-1.2285423950946077,9.302530161877895
828,1337,50737,37,85.82,427.46057432000003,49683,-151.96454631183164,0.0006621466666666667,0.030686717269057077,0.31014496172573547,10.419953846762366
