time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss
4,0,139,424,34.75,66.81319075,,,,,,
8,0,277,418,34.625,88.479505125,,,,,,
12,1,426,423,35.5,85.67309266666666,,,,,,
16,1,583,422,36.4375,81.892302,,,,,,
20,1,730,424,36.5,83.82734715,,,,,,
24,2,877,423,36.541666666666664,81.42452270833333,,,,,,
28,2,1031,416,36.82142857142857,82.07427057142857,,,,,,
32,2,1178,413,36.8125,82.922578,,,,,,
36,3,1323,414,36.75,84.45658555555556,,,,,,
40,3,1478,411,36.95,88.4579533,,,,,,
44,3,1633,411,37.11363636363637,86.33678404545454,,,,,,
48,4,1775,413,36.979166666666664,83.19256458333334,,,,,,
52,4,1914,413,36.80769230769231,82.26415953846154,,,,,,
56,4,2051,414,36.625,80.4135545,,,,,,
60,5,2190,413,36.5,81.03145154999999,,,,,,
64,5,2330,410,36.40625,78.69780284375,,,,,,
68,6,2475,410,36.39705882352941,77.70929919117646,,,,,,
72,6,2622,411,36.416666666666664,77.52461047222222,,,,,,
76,6,2784,412,36.63157894736842,79.62806627631579,,,,,,
80,7,2929,413,36.6125,80.448447475,,,,,,
84,7,3067,413,36.51190476190476,79.15270064285713,,,,,,
88,7,3216,413,36.54545454545455,78.87756061363635,,,,,,
92,8,3367,412,36.59782608695652,79.01287034782608,,,,,,
96,8,3514,412,36.604166666666664,80.32085625,,,,,,
100,8,3676,412,36.76,80.29798253,,,,,,
104,9,3822,412,36.83,80.37565339000001,,,,,,
108,9,3962,413,36.85,80.00951361999999,,,,,,
112,9,4110,412,36.84,81.38181504,,,,,,
116,10,4246,411,36.63,80.56538644,,,,,,
120,10,4393,412,36.63,79.57023611,,,,,,
124,11,4544,412,36.67,80.89425560000001,,,,,,
128,11,4692,411,36.61,80.59159261999999,,,,,,
132,11,4838,410,36.6,80.72564039999999,,,,,,
136,12,4962,409,36.39,79.79424524999999,,,,,,
140,14,5111,348,36.33,80.15033383,82,-36.139510250091554,0.0009979692,0.9404870256781578,-2.0563906162977217,290.1386405944824
144,18,5267,280,36.34,81.44032545,236,-65.53833593324174,0.0009979076000000001,0.8101698756217957,-6.652274253756501,55.357027408688566
148,22,5406,242,36.31,83.19855220000004,377,-89.54462802771366,0.0009978512,0.7050127730225072,-10.42979538079464,44.61395876335375
152,25,5539,219,36.25,83.25322365999999,508,-110.21060689290364,0.0009977988,0.6241406818230947,-13.09586861928304,31.889072608947753
156,28,5672,201,36.21,84.13280915,645,-127.80259577433269,0.000997744,0.5540763735771179,-15.672681781980726,22.801789389716255
160,31,5844,183,36.54,82.54143001999999,805,-142.2809091047807,0.0009976800000000001,0.48320515521548013,-18.32734251022339,17.430823304436423
164,36,6021,164,36.91,82.71745153000002,996,-150.54573664589535,0.0009976036,0.4129603325374543,-20.9998841361394,23.229176248822892
168,41,6214,151,37.39,83.9430435,1183,-153.97926875523157,0.0009975288,0.3495765236162004,-22.88667447226388,23.21867933727446
172,46,6412,136,37.9,89.25703858000001,1379,-155.7624542236328,0.0009974504,0.29905387325720356,-25.317353092540394,21.690352856029165
176,51,6592,127,38.08,93.60291576,1560,-155.2222330977277,0.000997378,0.2567148019627827,-26.349442644817074,19.11992245185666
180,55,6773,122,38.44,98.03103781000002,1725,-152.89965678370277,0.000997312,0.22660088123277175,-25.17054531186126,29.49592142326887
184,59,6967,116,39.0,101.47264557999999,1915,-152.76434020996095,0.000997236,0.19889046847820283,-23.582875785827635,19.032679023742677
188,65,7221,109,40.05,104.38630480000002,2169,-153.77846829396373,0.0009971344,0.1694660872783301,-21.11253612446335,18.24595188644697
192,70,7408,104,40.41,109.39360521,2381,-153.92981974283853,0.0009970496,0.14985839967374448,-18.137445043634486,15.79019269236812
196,76,7638,100,41.24,111.85526673,2580,-153.73722556329542,0.00099697,0.13613375396497787,-16.56072070521693,13.601870721386325
200,82,7856,95,41.8,117.53792558,2817,-145.18269498007638,0.0009968752,0.12013291660696268,-18.637432949883596,11.420992851257324
204,87,8041,91,42.19,124.55496163999999,2993,-139.50596294403076,0.0009968048,0.1080148933455348,-18.573629522323607,11.410981905460357
208,93,8276,88,43.14,130.21680708,3225,-132.71078603407915,0.000996712,0.09629185125231743,-15.045844695147347,11.760465818292955
212,100,8495,84,43.85,135.12094986,3443,-129.84596472520096,0.0009966248,0.08746654425676052,-11.45857886167673,12.969534378785353
216,106,8760,82,45.14,143.19297077,3701,-124.86387057420684,0.0009965216,0.08059063472035455,-9.30129696101677,11.135557616629251
220,113,9030,79,46.37,153.49048368,3964,-119.62509122576033,0.0009964164,0.07436331563762257,-7.1224623135158,9.49954058102199
224,118,9266,77,47.22,157.37106608,4207,-115.35383489576436,0.0009963192,0.07063913269568298,-3.4717019594321816,9.516048770839886
228,125,9519,76,48.27,167.22987889,4472,-110.14436075846355,0.0009962132,0.06704661478598913,-5.168620613416036,8.977073612213134
232,131,9814,74,49.76,177.67052898000003,4743,-103.43521002064581,0.0009961048,0.062926326756892,-4.7788781938345535,8.321248738662057
236,138,10069,72,51.07,185.57934449,5020,-103.57019753652077,0.000995994,0.0611375090602326,-0.10677512541209182,8.694946622195308
240,143,10255,71,51.44,192.04483623000004,5213,-99.77959756290211,0.0009959168000000002,0.061157647008989374,-0.32293420211941587,10.185636333390779
244,150,10563,70,52.96,197.83422481999997,5462,-100.6598943307859,0.0009958172,0.061232686589617245,0.8811422367708399,13.01843611253511
